<<<<<<< Updated upstream
 Barra de labios colour elixir moisture 030 rosewood Max Factor 1 ud.,1 Ud.,168048
 Esmalte de uñas perfect stay gel shine 002 baby pink manicure Max Factor 1 ud. ,1 Ud.,792959
 Pinza depilar punta oblicua Fussy 1 ud.,1 Ud.,452307
.Atún claro en escabeche Calvo pack de 3 latas de 104 g.,Pack 3x108 G.,931781
10 Bolsas de basura de Plástico reciclado Handy Bag Resistente 50 Litros - Verde,1 Ud,229548
10 Bolsas de basura Handy Bag Especial Jardín 100 Litros - Verde,10 Ud.,817743
10 Guantes desechables de Látex Carrefour  G - Blanco,10 Ud,996839
10 Guantes desechables de Látex Carrefour  M - Blanco,1 Ud.,693738
10 Guantes desechables de Látex Carrefour  P - Blanco,10 Ud,812219
10 Rotuladores Stabilo Pen 68 Zebrui,10 Uds,535717
100 Chinchetas Colores Carrefour,100 Ud.,971567
100 Clips Niquelados Carrefour,100 Ud.,549094
100 Guantes desechables de Látex Carrefour  M/G - Blanco,100 Ud,75140
12 Bolsas de basura Vileda Autocierre Style 50 Litros - Azul,12 Ud,310615
12 Rotuladores Pointmax Stabilo,12 Uds,472152
12 Tazas  de Plástico CARREFOUR HOME  8,25x11,923486
15 Bolsas de basura Elásticas Handy Bag 30 Litros - Gris,1 Ud,171812
15 Bolsas de basura Vileda Autocierre 30 Litros - Gris,15 Ud,263318
15 Clips Gigantes Colores Carrefour,15 Ud.,180359
15 Gamuzas Desechables SPONTEX Atrapapolvo,1 Ud.,87211
15 Marcadores Boss Originales Stabilo,15 Ud.,976009
16 Pilas Duracell Simply AA,16 Ud.,746635
2 Baguettes para hornear Hacendado,Paquete,35997
2 Bayetas Multiusos Suave Antibacterias odor stop VILEDA  - Amarilla,2 Ud,720663
2 Bolígrafos 4 Col Shine + 1 Tippex,3 Ud.,26663
2 Bolígrafos Milan P1 Touch + 2 Lápices HB+H + Sacapuntas + Goma de Borrar Milan 430,6 Ud,105033
2 Bolas de Plástico y 2 Bolas de Goma para Gato Vitalkraft,4 Ud,549597
2 Boligrafo Gelocity Quick Dry Bic,3 Ud.,610212
2 Esponjas Multiusos Borrabrite Scotch Brite - Blanco,2 Ud,232409
2 Estropajo 3capas Universal no raya  SCOTCH-BRITE - Gris,2 Ud.,839461
2 Estropajo salvauñas  Carrefour - Azul,2 Ud.,605706
2 Estropajos 3capas Classic SCOTCH-BRITE - Verde,2 Ud.,618632
2 Estropajos con esponja  Carrefou  - Verde,2 Ud.,270743
2 Estropajos con esponja Extreme SCOTCH BRITE - Morado,2 Ud,790468
2 Estropajos con esponja Frotaspon Spontex  - Azul,1 Ud,134920
2 Estropajos con Esponja No Raya Universal Scotch Brite - Bicolor,2 Ud.,617164
2 Estropajos Inox Glitzi Power VILEDA  - Metalizado,2 Ud,100232
2 Estropajos salvauñas Extreme SCOTCH BRITE  - Morado,2 Ud,564605
2 Estropajos salvauñas Vitrocerámica VILEDA  - Azul,2 Ud,559775
2 Fregonas  Extra SPONTEX  - Blanco,2 Ud,153773
2 Led Esferica 6W E14 Blanca,2 Uds,533294
2 Led Esferica 6W E27 Blanca,2 Uds,418217
2 Led Estandar 9WE27 Blanca,2 Uds,573231
2 Led Reflectante R50 5W E14 Blanca,2 Uds,278504
2 Led Reflectante R63 9W E27 Blanca,2 Uds,278599
2 Led Spotlight 6W GU5.3 Blanca,2 Uds,872046
2 Marcadores de Pizarra de Punta Fina - Negro,2 Ud.,813639
2 Pipetas de Insecticida para Perro Grande Dixie 20-40Kg,2 Ud.,952047
2 Vertedor  FACKELMANN Bar & Wine 10cm. - Negro,2 Ud,745995
24 Lápices Largos de Colores Alpino,1 Ud.,940719
24 Rotuladores  Punta Mediana,24 Ud.,374476
240 Anillas Reparadoras,240 Uds,368028
25 Bolsas de basura Maxi Rollo Perfumadas Handy Bag 30 l - Morado,1 Ud,41264
3 Arroces quinoa y verduras Benefit Brillante sin gluten y sin lactosa 200 g.,200 G.,893574
3 Bayetas Multiusos Microfibras collection BALLERINA  - Colores surtidos,3 Ud,615656
3 Bayetas Multiusos Sintética Ballerina  - Amarilla,3 Ud,56125
3 en 1 Limpiador de contactos 250 ml.,250 Ml.,336116
3 Estropajo Rozenbal - Varios colores,3 Ud,812016
3 Estropajo salvauñas Duo SPONTEX  - Verde,3 Ud,358687
3 Estropajos Classic XXL Scotch Brite - Verde,2 Ud.,593295
3 Estropajos Inox Carrefour - Metalizado,3 Ud,257937
3 Estropajos Multiuso Fibra Verde VILEDA  - Verde,3 Ud,782592
